schoolName,jobName,jobStartDate,applicationCloseDate,contactTerms
St Helen and St Katharine,Lacrosse Coach,Required from January 2020,26 Nov 2019,Fixed Term
Ardingly College Senior,Performing Arts Technician Apprentice,,28 Nov 2019,Permanent
Ardingly College Senior,Performing Arts Technician Apprentice,,28 Nov 2019,Permanent
Ardingly College Senior,Performing Arts Technician Apprentice,,28 Nov 2019,Permanent
George Mitchell School,Year 1 Primary Teacher,January 2020,28 Nov 2019,Permanent
St Olave's Grammar School,Teacher of Physical Education,September 2020,9 Dec 2019,Fixed Term
The Grange School,Teacher of Physical Education  - Maternity Cover,24/02/2019,21 Nov 2019,Maternity Cover
William Perkin CofE High School,Female Graduate Sports Assistant,January 2020,,Fixed Term
Bedford Modern School,Football Coach,Required for the spring term 2020,25 Nov 2019,Fixed Term
Bedford School,Mathematics Teacher,September 2020,29 Nov 2019,Permanent
Bedford Girls' School,Appointment of Head,September 2020,22 Nov 2019,Permanent
Lincroft Academy,2nd in department for mathematics,Appointment for Easter/September 2020,11 Dec 2019,Permanent
Lincroft Academy,2nd in department for mathematics,Appointment for Easter/September 2020,11 Dec 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
Wootton Academy Trust,Teacher of English,Spring or Summer Term 2020,25 Nov 2019,Permanent
The Bedford Sixth Form,Teacher in Health and Social Care,06/01/2020,24 Nov 2019,Permanent
