schoolName,jobName,jobStartDate,applicationCloseDate,contactTerms
Abingdon School,Admissions Officer (Events),August 2019,30 Jun 2019,Permanent
Ardingly College Senior,Chef,,28 Jun 2019,Permanent
Badminton School,Chair of Governors,,1 Jul 2019,Fixed Term
Badminton School,Chair of Governors,,1 Jul 2019,Fixed Term
Badminton School,Chair of Governors,,1 Jul 2019,Fixed Term
Badminton School,Chair of Governors,,1 Jul 2019,Fixed Term
Royal Hospital School,Sports Coach (Hockey),1st September 2019,4 Jul 2019,Permanent
Queenswood School,Tennis Coach,Required for September 2019,24 Jul 2019,Permanent
Queenswood School,Tennis Coach,Required for September 2019,24 Jul 2019,Permanent
Queenswood School,Tennis Coach,Required for September 2019,24 Jul 2019,Permanent
Reigate College,Sports Coordinator,1 September 2019,5 Jul 2019,Maternity Cover
South Hampstead High School,PE Sports Assistant,,28 Jun 2019,Fixed Term
The Yorkshire and the Humber Cooperative Academies Trust (YHCLT),Trust HR & Finance Officer,Required for an immediate start,,Permanent
Ballard School,Teacher of Mathematics,January 2020 or earlier,3 Jul 2019,Permanent
Putnoe Primary School,Experienced Class Teacher/NQT,,27 Jun 2019,Permanent
Bedford School,Head of Academic Support,January 2020,2 Jul 2019,Permanent
The Bedford Sixth Form,Teacher of Chemistry and Applied Science,01/09/2019 onwards,26 Jun 2019,Permanent
The Bedford Sixth Form,Teacher of Chemistry and Applied Science,01/09/2019 onwards,26 Jun 2019,Permanent
The Bedford Sixth Form,Teacher of Chemistry and Applied Science,01/09/2019 onwards,26 Jun 2019,Permanent
The Bedford Sixth Form,Teacher of Chemistry and Applied Science,01/09/2019 onwards,26 Jun 2019,Permanent
The Bedford Sixth Form,Teacher of Chemistry and Applied Science,01/09/2019 onwards,26 Jun 2019,Permanent
Bedford Free School,Director of Finance,,15 Jul 2019,Permanent
Bedford Free School,Director of Finance,,15 Jul 2019,Permanent
E-Spired,Behaviour and Learning Mentor,September 2019,28 Jun 2019,Fixed Term
E-Spired,Behaviour and Learning Mentor,September 2019,28 Jun 2019,Fixed Term
Vision for Education Ltd,Secondary Supply Teacher,Immediate,31 Jul 2019,Temporary
Vision for Education Ltd,Secondary Supply Teacher,Immediate,31 Jul 2019,Temporary
Chiswick and Bedford Park Preparatory School,Part Time Teacher,01/09/2019,11 Jul 2019,Fixed Term
Ecole Jeannine Manuel,School Transport Officer & Pupil Supervisor,July 2019,21 Jul 2019,Permanent
Bedford Modern School,Head’s Assistant and School Secretary,,,Permanent
Bedford Modern School,Head’s Assistant and School Secretary,,,Permanent
Bedford Girls' School,SEND Support Assistant,,3 Jul 2019,Maternity Cover
Bedford Girls' School,SEND Support Assistant,,3 Jul 2019,Maternity Cover
Dean Trust Ardwick,Teaching Assistant Level 1 SEN,1st September 2019,8 Jul 2019,Permanent
Dean Trust Ardwick,Teaching Assistant Level 1 SEN,1st September 2019,8 Jul 2019,Permanent
Dean Trust Ardwick,Teaching Assistant Level 1 SEN,1st September 2019,8 Jul 2019,Permanent
The Gryphon School,Singing Teacher,,27 Jun 2019,Permanent
Ashton on Mersey School,Senior Examinations Officer,,1 Jul 2019,Permanent
SGS Berkeley Green UTC,SEND Manager (SENCo),1st September 2019,28 Jun 2019,Maternity Cover
SGS Berkeley Green UTC,SEND Manager (SENCo),1st September 2019,28 Jun 2019,Maternity Cover
Brockington College (Academy),Operations Manager,27/08/19,1 Jul 2019,Permanent
Exeter College,Programme Leader in Economics,,26 Jun 2019,Permanent
Exeter College,Programme Leader in Economics,,26 Jun 2019,Permanent
Exeter College,Programme Leader in Economics,,26 Jun 2019,Permanent
Exeter College,Programme Leader in Economics,,26 Jun 2019,Permanent
Exeter College,Programme Leader in Economics,,26 Jun 2019,Permanent
Exeter College,Programme Leader in Economics,,26 Jun 2019,Permanent
West Exe School,Pastoral & Senior Leadership Team Administrator,1/9/19,11 Jul 2019,Permanent
West Exe School,Pastoral & Senior Leadership Team Administrator,1/9/19,11 Jul 2019,Permanent
Exeter Cathedral School,Music Teacher and Chorister Tutor,January 2020,28 Jun 2019,Permanent
South Dartmoor Community College,Teacher of Spanish KS4/KS5,September 2019,3 Jul 2019,Fixed Term
Holsworthy Community College,Teacher of Music,September 2019,8 Jul 2019,Temporary
Newton Abbot College,Trainer/Assessor (Hairdressing),02/09/2019,3 Jul 2019,Fixed Term
Great Walstead School,Year 5 (KS2) Teacher,01/09/2019,28 Jun 2019,Permanent
Guildford High School,Teaching Assistant,September 2019,1 Jul 2019,Fixed Term
The Weald Community School and Sixth Form,Teacher of Economics & Business Studies,September 2019 or January 2020,8 Jul 2019,Permanent
The Weald Community School and Sixth Form,Teacher of Economics & Business Studies,September 2019 or January 2020,8 Jul 2019,Permanent
Glebelands School,Drama Teacher,September 2019,28 Jun 2019,Permanent
Hazlegrove Preparatory School,Latin Teacher (Part Time),,8 Jul 2019,Permanent
Headington School,"Graduate Boarding Assistant- Library, fixed term, term time (residential)",September 2019,6 Jul 2019,Permanent
